client_id,variant,status,scored,use_of_context,use_of_context_reasoning,causal_reasoning,causal_reasoning_reasoning,interpretability,interpretability_reasoning,recommendation_quality,recommendation_quality_reasoning,mean_score
C000720,no_graph,aborted,False,,,,,,,,,
C000720,llm_only,aborted,False,,,,,,,,,
C000350,no_rag,done,True,3.0,"Ответ действительно опирается на PSM, граф и частично на RAG, но местами подменяет контекст: интервенция payroll трактуется через неназванные в кейсе связи и не использует профиль клиента (healthcare, medium, high activity) для обоснования. Кроме того, PSM-эффект интерпретирован как рост Revenue_Growth_Rate без явной привязки к тому, что ATT относится именно к New_Product_Offer/payroll.",2.0,"Логика в целом последовательна: положительный ATT используется как основной сигнал, а граф — как косвенное подтверждение через payroll → inflow. Однако причинная цепочка не полностью согласована с данными: в DSL-фрагменте нет показанного пути от Has_Payroll к Revenue_Growth_Rate, а вывод о влиянии на выручку слишком сильный для данной структуры и без явной медиаторной модели.",4.0,"Структура ответа хорошая: есть expected_effect, drivers_pos и drivers_neg, и каждый тезис привязан к источнику. Но формулировки местами слишком категоричны или расплывчаты ('what-if', 'доверие высокое'), при этом не объясняется, почему именно PSM доминирует и как именно трактуется приращение 2.19 п.п.",3.0,"Для запрошенной интервенции ответ частично применим, так как прямо оценивает payroll-оффер и осторожно отмечает отсутствие прямых подтверждений в RAG. Но качество рекомендации снижают слабое хеджирование и переинтерпретация эффекта как почти гарантированного роста выручки; не хватает конкретной операционной оговорки о том, что payroll стоит тестировать, а не внедрять безусловно.",3.0
C000350,no_graph,done,True,4.0,"Ответ явно использует PSM-оценки, профиль клиента и RAG-фрагменты, а также упоминает релевантную интервенцию — зарплатный проект. Однако часть аргументов слишком общая и не привязана к специфике клиента (медицина, средний размер, высокий оборот), а ссылки на doc_04/doc_05 местами поверхностны.",3.0,"Логика в целом последовательна: зарплатный проект связывается с удержанием, повторными операциями и потенциальной монетизацией, а риски — с качеством сервиса и внедрением. Но причинность местами подменяется коррелятивными утверждениями, и фразы вроде 'PSM показывает рост выручки' чрезмерно интерпретируют средний эффект без явного механизма и без учета гетерогенности.",4.0,"Структура 'expected_effect / drivers_pos / drivers_neg' удобна и читаема, а указание источников повышает прослеживаемость. Тем не менее формулировки некоторых цитат обрывочны, есть неаккуратные сокращения и местами смешение фактов и интерпретаций, что снижает ясность.",3.0,"Для запрошенной интервенции ответ релевантен: рассматривается именно зарплатный проект и дается осторожный вывод на основе PSM. Но качество рекомендаций ограничено: мало конкретики по внедрению для данного клиента, не учтены особенности среднего healthcare-бизнеса, а хеджирование рисков слишком общее и не предлагает операционных шагов.",3.5
C001100,full,done,True,3.0,"Ответ опирается на PSM-оценки, указывает n_pairs и низкое доверие, а также использует RAG и граф. Однако он слабо использует профиль клиента и почти не связывает его с интервенцией по Credit_Limit_Change, поэтому контекст задействован лишь частично.",2.0,"Логика в целом осторожная: автор признаёт отсутствие прямого пути в графе и низкую надёжность PSM. Но вывод о слабом росте Revenue_Growth_Rate из ATT=0.0220 выглядит чрезмерно уверенным при reliable=False, а связь из RAG с выручкой через лояльность слишком натянута и неочевидна.",4.0,"Структура понятная: отдельно перечислены expected_effect, drivers_pos и drivers_neg, с привязкой к источникам. Тем не менее часть формулировок противоречива или слишком общая, а трассировка от источника к выводу местами слабая.",2.0,Для слабых данных есть хорошее хеджирование через указание на ненадёжность PSM и отсутствие подтверждённого пути в графе. Но рекомендация слабо применима к самой интервенции по повышению кредитного лимита: не дана практическая бизнес-оценка риска/пользы именно для этого клиента и не предложены действия при неопределённости.,2.75
C000350,llm_only,done,True,3.0,"Ответ опирается на часть профиля и RAG: упоминаются активность, баланс, число продуктов и отсутствие численного PSM/графа. Однако он почти не использует ключевые поля кейса для payroll-интервенции, например отрасль healthcare, наличие кредита, высокий net cashflow и стабильный рост выручки, которые могли бы существенно повлиять на вывод.",3.0,"Логика в целом связна: больше продуктовая глубина и лояльность могут поддерживать удержание, а уже высокий набор продуктов может ограничивать допродажу. Но причинная связь с конкретным payroll-офером сформулирована слишком общо, без механизма, почему именно payroll должен улучшить метрики для этого клиента, и есть некоторая подмена оценки эффекта общими рассуждениями.",4.0,"Структура ответа понятная: есть expected_effect, positive и negative drivers, и каждая часть помечена как опирающаяся на профиль или документ. При этом формулировки местами шаблонные и расплывчатые, а трассировка к источникам неполная, поскольку неясно, какие именно элементы профиля дали тот или иной вывод.",3.0,"Для слабых данных агент корректно хеджирует неопределенность и не делает необоснованно сильных заявлений. Но рекомендация недостаточно привязана к payroll как конкретной интервенции: нет оценки операционной пригодности для healthcare, отсутствует обсуждение потенциальных барьеров внедрения и не предложены практические условия, при которых оффер был бы целесообразен.",3.25
C001100,no_psm,done,True,2.0,"Ответ частично опирается на граф и RAG, но очень слабо использует сам профиль клиента и почти не связывает интервенцию с доступными признаками бизнеса. Упоминание Has_Card как драйвера выглядит нерелевантным запрошенному изменению лимита и не отражает конкретику кейса.",2.0,"Логика в целом осторожная: отмечено отсутствие подтвержденного пути от Credit_Limit_Change к целевому показателю и сделан вывод о нейтральном эффекте. Однако есть слабые и спорные связки, например про Has_Card и Has_Loan, которые не выведены из предоставленного графа и не доказывают эффект интервенции.",3.0,"Структура ответа понятная: выделены expected_effect, drivers_pos и drivers_neg, а также явно указана неопределенность. При этом прослеживаемость к источникам неполная, потому что часть утверждений не сопровождается точной привязкой к графу или RAG и выглядит декларативно.",2.0,"Для слабых данных выбран приемлемо хеджированный вывод без чрезмерной уверенности, но практическая ценность низкая: нет содержательной рекомендации по повышению лимита именно для данного клиента и не предложены условия, при которых интервенция могла бы быть оправдана. Рекомендация фактически сводится к нейтральному ожиданию без действий.",2.25
C001100,no_graph,done,True,4.0,"Ответ опирается на PSM-оценки, указывает на ненадёжность выборки и использует RAG-фрагменты, а также учитывает факт наличия loan и трёх продуктов. Однако он почти не использует профиль клиента глубже и не связывает интервенцию с конкретной финансовой ситуацией малого производственного бизнеса.",3.0,"Логика в целом последовательна: увеличение кредитного лимита трактуется как поддержка оборотов и удержания, при этом эффект считается умеренным из-за слабого PSM. Но причинная цепочка местами слишком общая и слабо обоснована для именно выручки; есть смешение лояльности, кросс-продаж и доходности без явного механизма.",4.0,"Структура удобная: есть expected_effect и разделение на drivers_pos/drivers_neg, а ссылки на источники прослеживаются. Тем не менее формулировки местами расплывчаты, а в атрибуции к RAG встречаются слишком общие перефразы вместо точного извлечения фактов.",3.0,"Рекомендация достаточно осторожна, что уместно при reliable=False, и она напрямую относится к запрошенному изменению кредитного лимита. Но практическая применимость слабовата: нет конкретных условий, порогов, мер мониторинга или сегментации по риску, а связь с малым производственным бизнесом раскрыта поверхностно.",3.5
C001100,llm_only,done,True,2.0,"Ответ частично опирается на RAG, но почти игнорирует сам профиль клиента и запрошенную интервенцию повышения кредитного лимита на 15%. Вместо анализа платежеспособности, выручки, cashflow и текущего кредита используются общие фразы о новых продуктах и неочевидные отсылки к doc_03.",1.0,"Логика слабая и местами противоречивая: предложение нового продукта не является прямым следствием изменения кредитного лимита, а тезис о том, что новые инструменты могут одновременно снижать ставки и сигнализировать о дефиците ликвидности, не привязан к данному кейсу. Для интервенции 'Credit_Limit_Change' не показана причинная связь с профилем клиента.",2.0,"Структура ответа есть, но прослеживаемость аргументов низкая: неясно, почему neutral выбран как итог, и как именно каждый драйвер связан с источником. Формулировки расплывчаты, а ссылки на документ не сопровождаются точной интерпретацией для банковского решения.",1.0,"Для запрошенного изменения кредитного лимита ответ недостаточно применим: нет оценки риска, текущей загрузки по кредиту, динамики оборотов или резервной способности клиента. Хеджирование слабых данных есть, но оно не компенсирует отсутствие релевантной рекомендации по конкретной интервенции.",1.5
C001500,full,done,True,2.0,"Ответ опирается на PSM, RAG и граф, но использует их неаккуратно: упоминает doc_19, которого нет в предоставленных фрагментах, и делает слабые выводы из нерелевантного текста про лояльность. Контекст клиента и сама интервенция (Credit_Limit_Change=25.0) практически не интерпретируются.",2.0,"Логика в целом осторожная: при отсутствии подтвержденного пути по графу и ненадежном PSM вывод о нейтральном эффекте допустим. Однако причинная связь между кредитным лимитом и выручкой не раскрыта, а некоторые утверждения из RAG выглядят натянутыми и не связаны с целевой переменной.",3.0,"Структура ответа понятная: есть итог, драйверы роста и снижения, присутствует явное хеджирование по надежности PSM. Но прослеживаемость подрывается ссылкой на отсутствующий документ и смешением прямых и косвенных аргументов без четкого разграничения их силы.",2.0,"Для заданной интервенции рекомендация слишком общая и почти не предлагает действий, кроме констатации неопределенности. При слабых данных уместно хеджирование, но отсутствует практический совет по лимиту, сегменту или условиям изменения, что снижает применимость.",2.25
C001100,no_rag,done,True,3.0,"Ответ действительно использует PSM-оценку, помечает ненадежность эффекта и пытается связать вывод с графом и RAG. Однако он почти не опирается на ключевые поля профиля клиента (отрасль, денежные потоки, баланс, текущий кредитный продукт) и ссылается на нерелевантные фрагменты документов, особенно doc_18 и doc_03, которые слабо связаны с изменением кредитного лимита и выручкой.",2.0,"Логика в целом осторожная: при слабом PSM-результате сделан вывод о слабом ожидаемом эффекте и оговорена ненадежность. Но причинная часть содержит методологические ошибки: упоминание ""прямого пути"" от Credit_Limit_Change к Revenue_Growth_Rate без четкой связи в графе, а также подмена причинного эффекта на выручку косвенными рассуждениями про ставки и резервы, которые не объясняют именно влияние лимита.",3.0,"Структура ответа удобная: отдельно выделены expected_effect, drivers_pos и drivers_neg, а источники частично обозначены. Тем не менее прослеживаемость страдает из-за смешения разных уровней аргументации, неясной интерпретации 'п.п.' для роста выручки и включения нерелевантных цитат, которые не раскрывают, почему они важны для данного кейса.",3.0,"Рекомендация в целом осторожная и адекватно хеджирует слабость данных: 'допустима как тест, но без уверенного ожидания сильного роста'. Но она слишком общая, не предлагает конкретного плана внедрения, критериев успеха или риска для именно повышения кредитного лимита, и не использует профиль клиента для более практичной оценки эффекта.",2.75
C001500,llm_only,done,True,3.0,"Ответ опирается на часть полей профиля клиента и упоминает отсутствие PSM и графа, что показывает учет доступного контекста. Однако использование RAG-фрагментов в основном поверхностное и местами не связано с самой интервенцией изменения кредитного лимита.",3.0,"Есть базовая логика: высокий cashflow и рост выручки могут поддерживать увеличение лимита, а короткий тенюр и отсутствие текущего кредита снижают уверенность. Но причинные связи сформулированы слишком общо, местами натянуто, а ссылки на RAG не дают внятной причинной поддержки именно для credit limit change.",4.0,"Структура ответа понятная: есть expected_effect, drivers_pos и drivers_neg, и каждое утверждение пытается привязаться к источнику. При этом прослеживаемость страдает из-за нечетких и частично нерелевантных цитат из RAG, а также отсутствия ясной интерпретации силы эффекта.",2.0,"Для запрошенной интервенции ответ слишком осторожен и почти не дает прикладной рекомендации, кроме общего тезиса о мониторинге и условиях активации. Хеджирование уместно при слабых данных, но оно не сопровождается конкретными действиями, критериями успеха или обоснованием ожидаемого эффекта именно от +25% к лимиту.",3.0
C001500,no_psm,done,True,2.0,"Ответ опирается на профиль и граф, но использует лишь поверхностные связи и не извлекает из кейса важные признаки для кредитного лимита: текущие обороты, баланс, отсутствие займа, стаж клиента, а также игнорирует то, что PSM недоступно и RAG-фрагмент почти не релевантен. Связь 'inflow high -> support growth' не обоснована данными кейса и выглядит как общая эвристика.",2.0,"Логика в целом осторожная, но причинный вывод слабый: из отсутствия явного пути в графе корректно следует низкая уверенность, однако затем делается нестрогое утверждение о позитивном влиянии высокого inflow на рост без причинного механизма для именно кредитного лимита. Есть и натяжка про отсутствие Has_Loan как аргумент против кредитного канала — это не причинный вывод о лимите, а лишь констатация профиля.",3.0,"Структура ответа понятная: отдельно указан ожидаемый эффект, плюсы и минусы, а источники помечены. Однако формулировки местами расплывчаты и внутренне неравномерны: часть тезисов прямо связана с графом, часть — с профилем, но причинная трассировка до интервенции Credit_Limit_Change прослеживается слабо.",2.0,"Для запрошенной интервенции рекомендация фактически сводится к нейтральному отказу без полезной альтернативы или условий, при которых рост лимита мог бы быть оправдан. Хеджирование есть, но оно слишком общее и не учитывает специфику клиента, поэтому практическая ценность для принятия решения низкая.",2.25
C001500,no_rag,done,True,2.0,"Ответ опирается на PSM-оценку и упоминает RAG, но делает это поверхностно и местами неточно: использует doc_18 как поддержку для интервенции по кредитному лимиту, хотя в фрагменте нет прямой связи именно с кредитным лимитом. При этом игнорируются важные детали профиля клиента и DSL-графа для более точной привязки к механизму влияния.",2.0,"Логика в целом осторожная: эффект отмечен как слабоположительный и ненадёжный, что согласуется с low reliability PSM. Однако причинные связи сформулированы неубедительно — например, выводы про 'комфортные условия' и 'стимул спроса' не вытекают из данного RAG-фрагмента и не связаны явно с изменением кредитного лимита и целевой метрикой роста выручки.",3.0,"Структура ответа понятная: есть expected_effect, drivers_pos и drivers_neg, а также явные ссылки на источники. Тем не менее часть формулировок расплывчата, а трассировка к источникам местами сомнительна, что снижает воспроизводимость аргументации.",2.0,"Рекомендация к осторожному тесту и фокусу на ликвидности уместна при слабом PSM, но она слишком общая и слабо привязана к конкретной интервенции Credit_Limit_Change = 25%. Не хватает практического решения по риску, сегменту и ожидаемому механизму эффекта; хеджирование при слабых данных присутствует, но без операционной конкретики.",2.25
C001500,no_graph,done,True,3.0,"Ответ действительно опирается на PSM-оценки и частично на RAG-фрагменты, а также упоминает слабую надежность эффекта. Однако он почти не использует профиль клиента: отрасль IT_Services, высокий net cashflow, низкую активность, наличие депозита и карты, отсутствие кредита — это могло бы существенно повлиять на оценку интервенции.",2.0,"Логика в целом направлена верно: увеличение лимита может поддержать обороты, при этом есть риск-ограничения со стороны банка. Но причинные связи сформулированы слишком обобщенно и местами слабо связаны с конкретной интервенцией; например, ссылки на конкуренцию и цифровизацию не объясняют механизм влияния именно Credit_Limit_Change на целевой показатель.",3.0,"Структура ответа понятная: есть expected_effect, drivers_pos и drivers_neg, а также явные ссылки на источники. Тем не менее формулировки местами расплывчаты и не всегда прослеживается, как именно каждый источник поддерживает конкретное утверждение, особенно для RAG-фрагментов doc_31 и doc_32.",2.0,"Рекомендация осторожная и в целом уместна при unreliable PSM, но она слишком общая: не предлагает конкретного масштаба изменения лимита, условий триггера, риск-ограничений или сегментной логики для этого клиента. Для запрошенной интервенции лучше было бы дать более прикладной, conditional recommendation с учетом профиля микробизнеса и низкой активности.",2.5
C001900,full,done,True,3.0,"Ответ опирается на PSM-оценку, RAG-фрагменты и частично на граф, что хорошо. Однако он почти не использует профиль клиента и запрошенную интервенцию в прикладном смысле: для малого construction-бизнеса с 4 продуктами и уже низкой активностью не проведена содержательная адаптация вывода.",2.0,"Логика в целом слабая: положительный ATT трактуется как эффект скидки, но шкала и направление для Revenue_Growth_Rate не обоснованы. Аргумент из графа некорректен, потому что отсутствие прямой цепочки к outcome не означает отсутствия эффекта интервенции; плюс RAG-цитата про вербальные интервенции ЦБ нерелевантна к тарифной скидке.",3.0,"Структура ответа удобная: отдельно указаны expected_effect, drivers_pos и drivers_neg, есть ссылки на источники. Но прослеживаемость местами нарушена из-за общих и неточных формулировок, а также смешения релевантных и нерелевантных фрагментов.",3.0,"Рекомендация о временной и адресной скидке с контролем отклика в целом адекватна при modest effect и reliable PSM. Но она слишком общая, не привязана к параметрам клиента и не содержит конкретных условий применения, критериев успеха или ограничений риска каннибализации маржи.",2.75
C001900,no_psm,done,True,2.0,"Ответ частично опирается на RAG и упоминает граф, но почти не использует конкретный профиль клиента и явно игнорирует доступные признаки, связанные с тарифной скидкой и бизнес-контекстом. Есть также несоответствие: при запросе про Tariff_Discount обсуждается влияние на New_Product_Offer и Revenue_Growth_Rate без опоры на предоставленные связи.",2.0,"Логика в целом осторожная, но причинная цепочка слабо обоснована: вывод о нейтральном эффекте основан скорее на отсутствии подтверждения, чем на анализе структуры. Утверждение о положительном влиянии Tariff_Discount на New_Product_Offer выглядит неподкрепленным тем фрагментом графа, который дан, и снижает согласованность.",3.0,"Структура ответа понятная: есть expected_effect, drivers_pos и drivers_neg, а хеджирование оговорено явно. Однако прослеживаемость к источникам неполная, потому что ссылки на граф и RAG местами общие и не показывают, откуда взялось конкретное утверждение про New_Product_Offer.",2.0,"Для слабых данных корректно выбран осторожный нейтральный вывод, что лучше, чем необоснованная рекомендация. Но применимость к запрошенной интервенции низкая: вместо оценки Tariff_Discount как таковой ответ уходит в общий комментарий о лояльности и не дает полезного решения для клиента малого строительного бизнеса.",2.25
C002300,full,aborted,False,,,,,,,,,
C002300,no_psm,aborted,False,,,,,,,,,
C002300,no_rag,aborted,False,,,,,,,,,
C002300,no_graph,aborted,False,,,,,,,,,
C002300,llm_only,aborted,False,,,,,,,,,
C001900,no_rag,done,True,2.0,"Ответ опирается на PSM, профиль и частично на RAG, но использует их довольно поверхностно. При этом он игнорирует релевантные элементы контекста (например, отрасль construction, нулевой срок работы, низкая активность/баланс) и не связывает их с интервенцией скидки по тарифу.",2.0,"Логика в целом слабая: из ATT=0.0127 корректно следует положительный ожидаемый эффект, но переход к 'росту Revenue_Growth_Rate' без явного обоснования метрики нестрогий. Фраза о том, что в графе нет пути от Tariff_Discount к Revenue_Growth_Rate, фактически подрывает собственный вывод; причинная интерпретация RAG также не соответствует документу и выглядит натянутой.",3.0,"Структура ответа понятная: разделение на expected_effect, drivers_pos и drivers_neg помогает чтению, а ссылки на источники присутствуют. Однако прослеживаемость нарушается из-за некорректной интерпретации doc_03, а также из-за смешения числового эффекта PSM с изменением именно Revenue_Growth_Rate без пояснения.",2.0,"Для запрошенной интервенции ответ не даёт практически полезной рекомендации: нет вывода, стоит ли давать скидку, при каких условиях или с какими рисками. Хеджирование слабое, поскольку игнорируется релевантная неопределённость и не используются профильные признаки для таргетирования выгоды/риска именно по тарифной скидке.",2.25
C001900,no_graph,done,True,3.0,"Ответ опирается на PSM-оценку и частично на RAG-фрагменты, а также учитывает низкую активность и нулевой tenure из профиля. Однако он смешивает разные цели: интервенция — Tariff_Discount, а в прогнозе фигурирует рост Revenue_Growth_Rate, при этом связь с профилем малого строительного бизнеса раскрыта слабо.",3.0,"Логика в целом последовательна: скидка по тарифу может поддержать лояльность и удержание, но эффект ограничен низкой активностью клиента. Тем не менее есть слабые места: PSM трактуется как почти прямой causal effect без оговорок, а ссылки на документы местами слишком общие и не доказывают именно эффект скидки на выручку.",4.0,"Структура ответа понятна: отдельно выделены ожидаемый эффект, позитивные и негативные драйверы, есть ссылки на источники. Но прослеживаемость неидеальна, потому что формулировки типа 'поддержка спроса' и 'более высокий уровень активов' не привязаны напрямую к запрошенной интервенции и смешивают разные метрики.",3.0,"Рекомендация в целом релевантна скидке тарифа и корректно хеджирует неопределенность, не обещая гарантированного эффекта. Однако она слишком общая: нет указания, для какого именно тарифа скидка может быть уместна, какие риски маржинальности учитывать и почему именно этот малый клиент должен получить интервенцию при low activity и flat trend.",3.25
C001900,llm_only,done,True,2.0,"Ответ частично использует контекст: упоминает отсутствие PSM и графа, а также ссылается на RAG. Однако почти не опирается на профиль клиента и слабо связывает интервенцию именно со скидкой по тарифам для малого строительного бизнеса; ссылка на doc_03 выглядит тематически нерелевантной для этой интервенции.",2.0,"Логика в целом осторожная, но причинная связь между цитируемым документом о вербальных интервенциях и эффектом тарифной скидки не выстроена. Есть смешение разных сущностей: влияние новостей о ставках подменяет ожидаемый эффект ценовой скидки, поэтому выводы слабо согласованы с запрошенной интервенцией.",3.0,"Структура ответа ясная: есть expected_effect, drivers_pos и drivers_neg, и каждое утверждение сопровождается оговоркой об источнике. Но прослеживаемость слабая из-за неточного соответствия источника интервенции и местами расплывчатых формулировок вроде 'осторожно-позитивный' без операционализации.",2.0,"Рекомендация слишком общая и не очень применима к запросу: для тарифной скидки ожидается более предметная оценка влияния на удержание, объем транзакций или маржинальность. Хеджирование уместно, но оно построено на слабом и, вероятно, нерелевантном RAG, поэтому практическая ценность ограничена.",2.25
